cleaned_first_batch
Business Name,Average Rating,Review Grade,Title,Review,Rating,Time,Review Count,Country,Status,Month,Month Numbers,Years
Globe Telecom,1.1,Bad,0.57mbs download and 0.28mbps upload…,0.57mbs download and 0.28mbps upload really?700-1333ping in multiplayer! slowest net ever,1,26-Jun-20,1,PH,NULL,Jun,6,2020
Globe Telecom,1.1,Bad,0.57mbs download and 0.28mbps upload…,0.57mbs download and 0.28mbps upload really?700-1333ping in multiplayer! slowest net ever,1,"Jun. 26, 2020",1,PH,NULL,Jun,6,2020
Lazada,1.5,Bad,0031-200002580051 Entrego tracking…,"0031-200002580051 Entrego tracking number.  It was supposed to be delivered 12 Nov at the latest.  Every time I tracked it it would say that it was in the delivery station.  Then on 6 Dec, I got a txt saying it was going to be delivered this day.  Then a few minutes later I got a txt saying they attempted delivery at 0658am and were unable.  First you know that no one is there at their business in Cebu at that time. Second, I was sitting here at 0500am with two large Malinios dogs and no one, I mean NO ONE came to my address.  They are totally LYING about this whole thing.  Now I check my order and it says, Being Processed for return to sender.  Checking Entrego's reviews you will see that it has happened before to others but Lazada keeps using them.  Oh, and you will also see Lazada's name involved in posting about this scamming company.",1,9-Dec-19,1,PH,NULL,Dec,12,2019
Shopee,1.8,Poor,08-20-21 Seller dishonesty,"08-20-21 Seller dishonesty. Sellers selling computers at low prices. I placed two orders, both failed to ship on date as required by Shopee, thus both cancelled. One seller encouraged me to cancel my order and to send him the money directly. I have the screen shots to prove my claim. Reported the two incidents both to Shopee to  only receive refund. Received NO follow up data from Shopee.",1,20-Aug-21,1,US,NULL,Aug,8,2021
PLDT,1.1,Bad,Poor Service,1 Week no Internet Connection and I am still paying,1,21-Aug-19,3,PH,NULL,Aug,8,2019
PLDT,1.1,Bad,Deal with it,"1 star cause -10 rating is not an option. No more explanations. In short, it's TRASH",1,Updated 5 May 2020,1,PH,Updated,May,5,2020
Ninja Van,1.2,Bad,1 week delivery timeframe for a parcel…,1 week delivery timeframe for a parcel which came from a store less than 10km from my place. I shoud've just picked it up. Major service disparity with your counterparts.,1,16-Dec-21,1,PH,NULL,Dec,12,2021
Ninja Van,1.2,Bad,1) From cheras to cheras.,1) From cheras to cheras.2) 4th day to pick up from sender.3) 14th days in total still keep rescheduling and not reach recipient.,1,23-Jun-21,1,MY,NULL,Jun,6,2021
Flowerstore.ph,4.0,Great,An absolute disaster :),"1) I ordered on Dec 12 for a Feb 14 delivery. Delivery time frame is 7-10am. 2) It is currently 12:30pm and still no delivery. 3) I asked for an update via email and Messenger and I got the same template reply: ""You will receive your order within your preferred time frame!"" Hilarious.4) I tried calling their cell# but their phone is off - on Valentine's Day.5) I tried using their tracking feature in the website. Currently my order is in the ""order created"" phase. Not ""shipped"". Not even ""prepared"".6) The recipient of the flowers leaves in a hour and I still have no update. 7) I already paid last December via credit card and at this point I'm just hoping I can get a refund.Thanks flowerstore.ph!",1,14-Feb-21,1,PH,NULL,Feb,2,2021
Flowerstore.ph,4.0,Great,The best so far!,1. Affordable price2. Elegant and beautiful arrangement3. Secured in a box when shipped3. Fast response response from inquiry.4. Same date order,5,19-Aug-19,2,PH,Invited,Aug,8,2019
PawnHero & Marketplace,4.2,Great,fix this. thanks,"1. I tried to extend my loan but I was not eligible because the item I loaned already depreciated but when I tried to loan the same item again, the value is the same. 2. Your website is broken. I cannot upload my payment receipt screenshot.",3,16-Oct-20,1,PH,Verified,Oct,10,2020
Lazada,1.5,Bad,Poor User Experience,1. Irritating unusual traffic error. 2. Poorly maintained website. Who is your SEO???? Do you not know how to temporarily disallow certain out of stock from appearing in Google?,1,31-May-21,6,PH,NULL,May,5,2021
Ninja Van,1.2,Bad,Its not even worth 1 star.,"1. Its not even worth 1 star. 2. 1st delivery. deliverman did not follow instruction as per delivery note to leave at doorstep. deliveryman reported as delivery unsuccessful.3. 2nd delivery. deliveryman deliverman messaged and requested for verification code. but ninjavan did not provide how to give. in the end the deliveryman reported as delivery unsuccessful. 4. 3rd delivery. opted for self-collect at their designated collection point/mall, but deliveryman seems did not follow instruction again, and try deliver to house again, and ask for verfication code, and again reported as delivery unsuccessful. 5. contacted their fb messenger, keep asking to ask us to subscribe first, before they can reply. But subscribe what, and how to subscribe, it not indicated, in the end, no help at all.6. call their helpdesk. but not answering and always rejected. no call.7. email. and still waiting for reply, and waiting... pls do help ninjavan this feedback and hope they improves their delivery services. there is really nothing we can do, if we have nothing we can do to help their deliveryman to be able to deliver items successfully.",1,30-Apr-21,1,SG,NULL,Apr,4,2021
PLDT,1.1,Bad,Top 15 reasons why pldt is still trash and why,"1. PLDT IS A BULLSH8T THEY CARES ABOUT THEIR F**KING CULTURE NOT ABOUT THEIR CUSTOMERS2. THERE ARE MANY TOXIC SERVICES LIKE YOU PLDT ARE ASSH0LE3. THEY PAID 2K PESOS FOR STUPID 1-5 MBPS4. PLDT PUTS SH8TTY IMAGES IN MY GALLERY5. THE COMMERCIALS ARE POINTLESS AND USELESS SH8T6. LAGGY7. PHILIPPINE F***ING DISTANCE TELECOMMUNICATIONS ARE NOT FOR CUSTOMERS, ITS ONLY FOR RICH PEOPLE8. THE PING IS TERRIBLE9. MY PLDT SMART USSES SH8TTY APPLICATIONS IN GOOGLE PLAY10. PLDT CUSTOMER SERVICES SUCKS11. GO12. F@CK13. YOUR14. SELF15. B*TCHTHATS ALL FOR TODAY>:) BADBYE",1,23-May-21,1,PH,NULL,May,5,2021
Shopee,1.8,Poor,Privacy is a joke to Shopee,"1. Signed up with email2. Order issue encountered3. Contacted support, the issue not resolved4. Tried deleting an account, require the phone verification to do so.5. Contacted support to delete the email. Need government id and additional id to be able to delete an account.I am not opening a bank account or an online payment account. So why do you need customers phone or government id to delete an account? (Account never deleted as I was hesitant to give it.)",1,20-Sep-20,1,HK,NULL,Sep,9,2020
Flowerstore.ph,4.0,Great,Hope to be better,"1. Time of Delivery - shorter time delivery time span, I order the flower and to be delivered around 10am - 1pm - this is too long for a waiting time specially for occasion that starts at 8am and ends at 11am. I saw my self wishing for the flowers to arrive at 10am, not knowing the exact time worrying that the event will be finished and can't get the product that I have bought. I hope there would be an option where the customer can choose the exact time like 11am, 12 noon, 1 pm and so on. 2. The flowers are not that fresh when they came to me. The flowers was delivered via motorcycle. And I think that the flowers were under the sun and thus making the flowers wilted in some sort. 3. presentation - in the photo on the website the bouquet are well presented and they are beautiful but I was disappointed to see that the wrapper that was used is only paper(cartolina). Which I thought some kind of cloth like paper. I guess give more information the the things you used in the website. Expectation vs. Reality.",3,"Updated Oct 17, 2018",1,PH,Updated,Oct,10,2018
PLDT,1.1,Bad,10 days without connection.,"10 days without connection.customer service is total CRAP, this company is a scam and need to be taken down.",1,23-Oct-20,1,PH,NULL,Oct,10,2020
PNXBET,4.8,Excellent,100%  legit.,100%  legit.. No scam.. Good withdrawal time.Username: jamac23,5,19-Mar-20,1,PH,NULL,Mar,3,2020
Mabuhay Travel,4.9,Excellent,100% Excellent  and satisfied  the…,"100% Excellent  and satisfied  the processing, I  will  do it next  time and can share it to  others .Thanks to jacob. Benedith spencer",5,15-Dec-19,1,GB,Verified,Dec,12,2019
Flowerstore.ph,4.0,Great,100% Highly recommended,100% Highly recommended. They are very professional. Im really impress for the job well done!,5,28-Feb-21,9,ES,NULL,Feb,2,2021
PNXBET,4.8,Excellent,PNXBET no. 1,100% Secure betting site in Philippines.Easy and fast transaction.User name: MichaelcorpuzTeam Name: #TeamKozz#pnxbet #pnxbetagentsystem,5,14-Dec-21,1,PH,NULL,Dec,12,2021
PNXBET,4.8,Excellent,100% legit agents promise!!!,100% legit agents promise!!!Username: Chaychay031801#PNXteamPH#pnxbet #pnxbetagentsystem,5,11-Dec-21,1,PH,NULL,Dec,12,2021
PNXBET,4.8,Excellent,Iluvroulettr,100% legit. Stay at home and play online casino.,5,25-Mar-20,1,PH,NULL,Mar,3,2020
Flowerstore.ph,4.0,Great,100% recommended,100% recommended! Always on time.. great and considerate customer service..,5,22-Apr-21,1,PH,Invited,Apr,4,2021
Mabuhay Travel,4.9,Excellent,100% satisfied with the service..very…,100% satisfied with the service..very helpful with immediate action,5,19-May-18,1,GB,Verified,May,5,2018
PNXBET,4.8,Excellent,100%legit ang pnx  slot games..,100%legit ang pnx  slot games... USER NAME:Ikang_28USER ID:500605590TEAM NAME:TEAM PH#PNX#PNXAGENTSYSTEM#PNXRAFFLE,5,11-Dec-21,1,PH,NULL,Dec,12,2021
Flowerstore.ph,4.0,Great,First definitely not the last,"10:26am to 8:15pm Thats more or less 12 hours and numerous exchanges of emails between me and abby. She was of huge unexplainable help to me, very patient and made it a point to put a smiley on all of her replies. Bryan, didnt mind going back to the place since my girlfriend wasnt there the first time.  Guys, these people are golden. These people made my flowerstore.ph experience worth it. These people made me a lifetime customer. Thank you flowerstore.ph!!!   Abby and Bryan, may you inspire other people as well do be as good as you are. Salute!",5,29-Oct-18,1,KW,Invited,Oct,10,2018
LBC Express,1.2,Bad,11-Oct-21,"11 October 2021Sobrang nakakadisappoint and nakakafrustrate ung LBC. Pick up palang, failed pick up na. I wasted my whole damn day waiting for my scheduled pick up, ive been calling LBC multiple times during that day, all they have to do is follow up na walang nangyayari.. and most of their customer service rep, walang respeto kung sumagot there's no empathy. I emailed customer care as well to escalate the problem but then, sinendan nila ako ng website nila, anong gagawin ko sa website?????!!!!!Super failed!",1,12-Oct-21,3,GB,NULL,Oct,10,2021
Lazada,1.5,Bad,Very bad experience buy on Lazada,11/11/2019 I buy one item ROG strix fusion gaming headset on Lazada Singapore I done order and payment I use my voucher everything no problem and until next day 12/11/2019 morning 9am the seller call and tell me this item already confirm sure No more stock form supplier in Singapore market the seller say to me will replace other model gaming headset for me ROG strix delta I feeling so weird why I need to accept I already done my payment and no any special Description the stock in the page when i check. the most Weird is I already done cancel and claim my refund and I lose my voucher too this not big deal to me but I still can saw the seller publish same item in Lazada and can place order and payment ?!I msg the seller they answer is not yet update stock (I no sure what they means )After two days 13/11/19 my money still pending on refund page but I check the item they still publish on Lazada and no problem ?! No stock anymore at Singapore but they still selling ?! Bad experience really need to beware,1,14-Nov-19,1,SG,NULL,Nov,11,2019
Lazada,1.5,Bad,"11/6/18 Cannot recommend Lazada, better to stay away from them as far as possible.","11/6/18On 23rd of September 2018 i had ordered a flat screen television, a wall bracket and an antenna from Lazada, as a gift for my parents in law. Order Number 207570108682693. Delivery of these 3 items happened after one week with a cracked screen on the tv. Firstly I was not able to return the item because Lazada website was hiding the return button for the tv, It took me 5 days of another daily chat with customer care until the return button was displayed on their website and i could request a return after 5 days of chat!!!. Total return warranty of the item was 7 days. The antenna and the wall bracket had a return button at all the times, but they were not broken... However, this order and the attempt to return was a lot of hassle already.So then after the broken tv was returned, i ordered a new tv from Lazada, as a replacement, order number 208939138482693, for the double price than before, delivery fee 4 times increased than before. Today as of the 6th of November, the replacement has not been delivered yet. Daily chat with customer care since 26th of october again and again turned into no results. Obviously their customer care doesnt care about anything, at all. Sorry but after all this experiences i can only recommend to stay away from Lazada as far as possible. Question to Lazada: Will you ever deliver the television or should i just contact my credit card company and cancel the payment? Thanks.",1,6-Nov-18,2,DE,NULL,Nov,11,2018
Philippine Airlines,1.4,Bad,13 months!,"13 months. Refund processed at the airport in March 2020. I have the refund receipt. 13 months later...NOTHING. They are just keeping peoples money. Its out and out theft. Filipinos are fantastic people, very friendly and accomodating. But, for such a ""religious"" country, its all a facade. Ive had lie after lie from this company. Just a bunch of We Love Jesus badge wearing liars. I got my refund from Cebu Pacific (a much smaller company), and from Opodo (a dire travel agent listed 48th of 50 of the worst travel agencies in a newspaper article) over 6 months ago. Ive threatened legal action, but they simply do not care. The Govt should shut these fraudster theives down. DO NOT EVER BOOK WITH PHILIPPINE AIRLINES. Its a total scam",1,12-Apr-21,3,PH,NULL,Apr,4,2021
PLDT,1.1,Bad,144p on youtube cant handle 240p only 1…,144p on youtube cant handle 240p only 1 mbps do not get,1,9-Aug-20,2,PH,NULL,Aug,8,2020
PNXBET,4.8,Excellent,170000121,170000121Pnxbet is the legit and the best,5,19-Mar-20,1,PH,NULL,Mar,3,2020
PNXBET,4.8,Excellent,100% legit,179920048 - 100% legit,5,26-Mar-20,1,PH,NULL,Mar,3,2020
PNXBET,4.8,Excellent,ONLINE BETTING,190518811 - great online betting site,5,26-Mar-20,1,PH,NULL,Mar,3,2020
THEKULT.COM,3.8,Great,1st time to order,1st time to order. I love the low prices and I ordered VS lotions. Smells great at mukhang mganda naman ang quality. 1 week delivery outside manila.,5,8-Jan-20,1,PH,NULL,Jan,1,2020
Mabuhay Travel,4.9,Excellent,1st time to purchase from Mabuhay…,"1st time to purchase from Mabuhay Travels. Had a very friendly and accommodating sales personnel. Unsure if she’s one of the Managers, but transactions were quick. Had my e-ticket in less that 10-15 mins after receiving my payment. Very impressive. Referred her a couple yesterday, too.Thank you very much, Remy x",5,16-Dec-21,4,GB,Verified,Dec,12,2021
PawnHero & Marketplace,4.2,Great,excellent,2 thumbs up and very accomodating to the customers....,5,9-Feb-16,1,US,Invited,Feb,2,2016
PLDT,1.1,Bad,Worst Internet Of all time Not even Close Worst Than Converge!,"2-3 MBPS WTH! This is why I'm Laggy Getting sacked INT's Forced Fumbles,Concided Don't let me score in My favorite sports Games in roblox",1,15-Dec-20,1,PH,NULL,Dec,12,2020
PNXBET,4.8,Excellent,203444861,203444861rgoda1990 Trusted online betting and casino,5,19-Mar-20,1,PH,NULL,Mar,3,2020
PNXBET,4.8,Excellent,24/7 chat support with lightning cash…,24/7 chat support with lightning cash out process. Thumbs up!,5,24-Mar-20,1,PH,NULL,Mar,3,2020
PLDT,1.1,Bad,25 mbps feels like 3 damn pldt how are…,25 mbps feels like 3 damn pldt how are you so bad?,1,21-Mar-21,1,PH,NULL,Mar,3,2021
PLDT,1.1,Bad,HOW IS IT THIS BAD,2532 ping definitely good internet,1,4-Jan-22,1,PH,NULL,Jan,1,2022
Learn to Trade Philippines,4.6,Excellent,3 days Forex Trading by Learn to Trade,3 days Forex Trading by Learn to TradeI'm very happy to start my forex trading journey here in LTT. The training webinar is very informative. The coaches are very easy to approach and they answer all of the questions of the students.,5,31-Jan-22,1,PH,NULL,Jan,1,2022
Learn to Trade Philippines,4.6,Excellent,"The coaches are very cooperative, helpful and comprehensible","3 days Learn Forex Course was very impressive, The coaches are very cooperative, helpful and comprehensible",5,Updated 29 Nov 2021,1,PH,Updated,Nov,11,2021
Lazada,1.5,Bad,Lazada's Inability to Return Grocery Money Amidst Covid-19 Situation,"3 weeks ago, amidst the Covid-19 situation and because we did not want to risk going out, I decided I entrust Lazada for all our grocery essentials, as I have done in the past. I filled up my shopping cart with all that we would need (rice, dairies, etc) and was ready to checkout, so I Cashed-in into my Lazada wallet for a big sum of P23,000 ($500).When I was checking out, Lazada system gave out a system error, saying apologies as there were issues in the system. The error message was meaningless so I escalated and learned that the real reason was that Lazada has stopped servicing our location. I would have understood that except now, nobody could help return my money back into my bank account.The past 3 weeks, I have been chatting with Lazada agents and supervisors almost on a daily basis and have been asking its manager to update me on the progress. The money is intended for food and groceries and 3 weeks is not a short time to wait amidst Covid-19. After 2 weeks of waiting, Manager John advised me that Lazada could not revert the money back and wanted me to go out of the house to pick it up on a remittance center. How inconsiderate is this solution considering that I chose Lazada to buy groceries so that I didnt have to get out of the house.It is also very illogical that, a big company, like Lazada has the mechanism to get our money in but has no mechanism to give it back to us. How bad also that the Lazada system allowed me to fill up my shopping basket and for cashing into my Lazada wallet when it knew it could not deliver to my designated and registered address.I have already given Lazada all the opportunities to help me by talking to possibly more than 20 agents, 5 supervisors and its manager and used up more than 20 hours in chats and calls to have this resolved. Lazada agents have dropped on my chats with them numerous times because and could not keep promises and commitment. After more than 3 weeks, our much-needed grocery money has not been returned yet.",1,11-May-20,1,PH,NULL,May,5,2020
Lazada,1.5,Bad,3 wks in logistics facility,"3 wks in logistics facility. Delivery location is less than 15 minutes away. Pathetic. Either parcel is Lost, destroyed or ignored by worthless, incompetent management.",1,20-Jun-20,1,PH,NULL,Jun,6,2020
PLDT,1.1,Bad,3-4 days?,3-4 days?! Why?!,1,30-Apr-21,1,PH,NULL,Apr,4,2021
PNXBET,4.8,Excellent,338615761,338615761#teamMoneyTree#pnxbetagentsystem#pnxbet,5,2-Aug-21,1,PH,NULL,Aug,8,2021
Ninja Van,1.2,Bad,3WEEKSSSSSSS FUUUUUCUCUCKING…,3WEEKSSSSSSS FUUUUUCUCUCKING DELAAYAAAYYAYAYAYAAYA,1,7-Jan-22,1,PH,NULL,Jan,1,2022
Flowerstore.ph,4.0,Great,3rd time ordering and lahat maganda ung…,3rd time ordering and lahat maganda ung flowers and nasa tamang date and time :) suggestion ko lang is i hope taasan ng konti ung limit na 200letters sa note.. and sana sa option ng cake meron malaki or maliit same sa blackforest..hehe ofw kasi ako.. ang lahat ng padala ko is surprise.. i hope me options na malaki ang cake.. and sana soon you can ad more ad ons like milktea or coffee sa starbucks.hehe kasi yan uso now eh..hehe fave ng girls kadalasan.. hehe thanks :) k,5,18-Feb-20,1,JO,NULL,Feb,2,2020
